Player,League,Squad,Country,Position,Annualized Salary
F. Nakazibwe,A,Great Galactic Gorgons,People's Land of Maneau,MFDF,20660000
Z. Okon,A,Green Fleet,Byasier Pujan,DF,23880000
G. Nimusiima,A,Green Fleet,Central Diasongo,DF,3220000
D. Chen,A,Green Fleet,Lefghau,DF,24280000
C. Muyama,A,Green Fleet,People's Land of Maneau,DF,19050000
G. Hernández,A,Green Fleet,People's Land of Maneau,DF,14680000
L. Mugumya,A,Green Fleet,People's Land of Maneau,DF,12990000
U. Kaahwa,A,Green Fleet,People's Land of Maneau,DF,7230000
U. Wright,A,Green Fleet,People's Land of Maneau,DF,22000000
Z. Agyei,A,Green Fleet,People's Land of Maneau,DF,14770000
Q. Sarfo,A,Green Fleet,Xikong,DF,3260000
C. Gheorghe,A,Green Fleet,Central Diasongo,FW,17030000
I. Koomson,A,Green Fleet,Djipines,FW,21140000
L. Obote,A,Green Fleet,Dosqaly,FW,32590000
I. Abeja,A,Green Fleet,Janmico,FW,38440000
J. Namatovu,A,Green Fleet,People's Land of Maneau,FW,6920000
T. Ichikawa,A,Green Fleet,People's Land of Maneau,FW,31170000
Z. Nabaweesi,A,Green Fleet,People's Land of Maneau,FW,28400000
N. Gheorghe,A,Green Fleet,Republic of Denand Landsa,FW,27490000
L. Amadu,A,Green Fleet,Xikong,FW,32270000
S. Avraham,A,Green Fleet,Nganion,FWMF,27800000
G. Mwebaze,A,Green Fleet,Nganion,GK,18080000
P. Kabugo,A,Green Fleet,People's Land of Maneau,GK,19620000
C. Ji,A,Green Fleet,Greri Landmoslands,MF,31790000
Q. Nabutono,A,Green Fleet,Lefghau,MF,19920000
P. Bauri,A,Green Fleet,Ngoque Blicri,MF,35260000
A. Miura,A,Green Fleet,Rosvi,MF,16090000
U. Guerin,A,Green Fleet,Tabhu Striary,MF,4470000
G. Hartmann,A,Green Fleet,Byasier Pujan,MFFW,27650000
J. Rukundo,A,Green Fleet,Dosqaly,MFFW,31430000
A. Haruna,A,Horrible Grizzlies,Dosqaly,DF,23430000
D. Svensson,A,Horrible Grizzlies,Esia,DF,8810000
O. Khainza,A,Horrible Grizzlies,Lefghau,DF,11720000
Y. Eyotaru,A,Horrible Grizzlies,Mico,DF,15490000
D. Martini,A,Horrible Grizzlies,Nganion,DF,31860000
S. Namugere,A,Horrible Grizzlies,Nganion,DF,22230000
F. Kalule,A,Horrible Grizzlies,People's Land of Maneau,DF,27830000
T. Nouri,A,Horrible Grizzlies,People's Land of Maneau,DF,19540000
V. Thompson,A,Horrible Grizzlies,People's Land of Maneau,DF,31250000
V. bin Ali,A,Horrible Grizzlies,Sobianitedrucy,DF,24980000
S. Mlakar,A,Horrible Grizzlies,Dosqaly,FW,30800000
Q. Günther,A,Horrible Grizzlies,Esia,FW,29980000
J. Wan,A,Horrible Grizzlies,People's Land of Maneau,FW,20530000
Z. Makore,A,Horrible Grizzlies,People's Land of Maneau,FW,24900000
N. Nantege,A,Horrible Grizzlies,People's Land of Maneau,FWDF,33180000
A. Olobo,A,Horrible Grizzlies,Biarizea,FWMF,30470000
D. Kayira,A,Horrible Grizzlies,Slandsganiamayotteque,FWMF,26810000
E. Wibowo,A,Horrible Grizzlies,Coastpa Barleslands,GK,15120000
R. Wanyama,A,Horrible Grizzlies,Imaar Vircoand,GK,11490000
J. Nkrumah,A,Horrible Grizzlies,Nganion,GK,9830000
M. Matsumoto,A,Horrible Grizzlies,Dosqaly,MF,30800000
C. Nyesiga,A,Horrible Grizzlies,Manlisgamncent,MF,22560000
Y. Diallo,A,Horrible Grizzlies,Ngoque Blicri,MF,12230000
G. Baey,A,Horrible Grizzlies,People's Land of Maneau,MF,26330000
I. Makavan,A,Horrible Grizzlies,Sobianitedrucy,MF,27700000
H. Alobo,A,Horrible Grizzlies,Esia,MFFW,27350000
O. Nampeera,A,Horrible Grizzlies,People's Land of Maneau,MFFW,30150000
B. Longoli,A,Horrible Storm,Djipines,DF,9600000
A. Tay,A,Horrible Storm,Frenchdo Stanser,DF,28970000
D. Yusof,A,Horrible Storm,Nkasland Cronestan,DF,21510000
B. Stewart,A,Horrible Storm,People's Land of Maneau,DF,19400000
H. Steiner,A,Horrible Storm,People's Land of Maneau,DF,14950000
K. Mirkovi?,A,Horrible Storm,People's Land of Maneau,DF,17400000
Y. Aidoo,A,Horrible Storm,People's Land of Maneau,DF,23230000
H. Nsamba,A,Horrible Storm,Byasier Pujan,FW,24050000
E. Estrada,A,Horrible Storm,Frenchdo Stanser,FW,23230000
A. Popescu,A,Horrible Storm,People's Land of Maneau,FW,32520000
X. Yau,A,Horrible Storm,People's Land of Maneau,FW,15100000
K. Aliyu,A,Horrible Storm,Saintswacroa,FW,22290000
K. Muhumuza,A,Horrible Storm,People's Land of Maneau,FWMF,22310000
K. Namuwaya,A,Horrible Storm,People's Land of Maneau,FWMF,25750000
N. Bondarenko,A,Horrible Storm,People's Land of Maneau,FWMF,30860000
S. Tamale,A,Horrible Storm,Imaar Vircoand,GK,26390000
K. Makaza,A,Horrible Storm,Dosqaly,MF,11530000
R. Akech,A,Horrible Storm,Eastern Covaki,MF,17110000
L. Egger,A,Horrible Storm,Lefghau,MF,13950000
Z. Cher,A,Horrible Storm,Ngoque Blicri,MF,29810000
G. Baey,A,Horrible Storm,People's Land of Maneau,MF,30190000
T. Nkhoma,A,Horrible Storm,Southslands,MF,26430000
Q. Mbambu,A,Horrible Storm,Lefghau,MFFW,27710000
Y. Nabulo,A,Horrible Storm,People's Land of Maneau,MFFW,10500000
Z. Chipeta,A,Mighty Jays,Esia,DF,14950000
D. Asaba,A,Mighty Jays,Greri Landmoslands,DF,8490000
S. Chided,A,Mighty Jays,Lefghau,DF,14780000
S. Kaggwa,A,Mighty Jays,Lefghau,DF,17980000
E. ?ta,A,Mighty Jays,Nganion,DF,8670000
Z. Semakula,A,Mighty Jays,Nganion,DF,25460000
Q. Aini,A,Mighty Jays,Ngoque Blicri,DF,16720000
E. Ramezani,A,Mighty Jays,People's Land of Maneau,DF,13270000
V. Ram,A,Mighty Jays,People's Land of Maneau,DF,14380000
Z. Nakagawa,A,Mighty Jays,People's Land of Maneau,DF,19000000
A. Akoth,A,Mighty Jays,Unicorporated Tiagascar,DF,20000000
G. Siddiqui,A,Mighty Jays,Central Diasongo,FW,28170000
U. Nalumansi,A,Mighty Jays,Czechnor,FW,26610000
F. Heng,A,Mighty Jays,Dosqaly,FW,25220000
I. Kakuru,A,Mighty Jays,Lefghau,FW,35710000
C. Ssentamu,A,Mighty Jays,People's Land of Maneau,FW,26670000
I. Nugraha,A,Mighty Jays,People's Land of Maneau,FW,22990000
G. Dijkstra,A,Mighty Jays,People's Land of Maneau,FWDF,26510000
U. Chio,A,Mighty Jays,Lefghau,FWMF,24940000
Z. Marini,A,Mighty Jays,Central Republic of Boekrainego,GK,24650000
X. Adikini,A,Mighty Jays,Cuandbo,GK,18110000
V. Kumwenda,A,Mighty Jays,Esia,GK,36670000
J. Rolland,A,Mighty Jays,Frenchdo Stanser,MF,7580000
M. Kusiima,A,Mighty Jays,Nancipenuaroe,MF,34240000
A. Vang,A,Mighty Jays,Nganion,MF,15070000
Y. Ferrara,A,Mighty Jays,People's Land of Maneau,MF,28900000
H. David,A,Mighty Jays,Redohrainbri,MF,33160000
K. Abalo,A,Mighty Jays,Quewenia,MFDF,15940000
E. Nakanjako,A,Mighty Jays,Rarita,MFFW,10750000
V. Garcia,A,Old Mustangs,Byasier Pujan,DF,16030000
A. Sihombing,A,Old Mustangs,Central Namemo Laand,DF,23440000
F. Nassolo,A,Old Mustangs,Djipines,DF,26640000
M. Tumuramye,A,Old Mustangs,Ngoque Blicri,DF,28620000
E. Ruzvidzo,A,Old Mustangs,People's Land of Maneau,DF,19420000
I. Kabagenyi,A,Old Mustangs,People's Land of Maneau,DF,18110000
T. Chebet,A,Old Mustangs,People's Land of Maneau,DF,9420000
Z. Rojas,A,Old Mustangs,People's Land of Maneau,DF,28960000
I. Ssentongo,A,Old Mustangs,Varijitri Isles,DF,10370000
X. Nazari,A,Old Mustangs,Ingre,DFFW,4160000
M. Carpentier,A,Old Mustangs,Lefghau,DFMF,25960000
Y. Niemi,A,Old Mustangs,Coastpa Barleslands,FW,33480000
Y. Wood,A,Old Mustangs,Frenchdo Stanser,FW,29870000
E. Alowo,A,Old Mustangs,Greri Landmoslands,FW,31060000
F. Njoku,A,Old Mustangs,Lefghau,FW,28160000
W. Kayange,A,Old Mustangs,Southern Ristan,FW,23150000
L. Edwards,A,Old Mustangs,People's Land of Maneau,FWMF,23610000
U. Nakazibwe,A,Old Mustangs,Lefghau,GK,29470000
F. Walker,A,Old Mustangs,Nganion,GK,10160000
P. Tetteh,A,Old Mustangs,Southslands,GK,22300000
V. Waswa,A,Old Mustangs,Byasier Pujan,MF,18870000
V. Mattila,A,Old Mustangs,Iverde,MF,27620000
I. Aidoo,A,Old Mustangs,Nganion,MF,18570000
Q. Johnsen,A,Old Mustangs,People's Land of Maneau,MF,34130000
H. Twongirwe,A,Old Mustangs,People's Land of Maneau,MFDF,16190000
P. Saputra,A,Old Mustangs,People's Land of Maneau,MFDF,23070000
A. Logose,A,Old Mustangs,Lylimi,MFFW,24420000
Q. Nakityo,A,Old Mustangs,Quewenia,MFFW,26040000
N. Kamusiime,A,Punctual Rustlers,Dosqaly,DF,25780000
A. Tumuhaise,A,Punctual Rustlers,People's Land of Maneau,DF,14430000
H. Farina,A,Punctual Rustlers,People's Land of Maneau,DF,27230000
S. Debnath,A,Punctual Rustlers,People's Land of Maneau,DF,12330000
I. Namugosa,A,Punctual Rustlers,Western Niasland,DF,12280000
G. Tukwasibwe,A,Punctual Rustlers,Dosqaly,DFFW,17550000
A. Berisha,A,Punctual Rustlers,People's Land of Maneau,DFFW,16380000
T. Kafuko,A,Punctual Rustlers,Southslands,DFMF,21060000
L. Lechner,A,Punctual Rustlers,Lefghau,FW,32310000
C. Namutebi,A,Punctual Rustlers,People's Land of Maneau,FW,39230000
N. Ono,A,Punctual Rustlers,People's Land of Maneau,FW,27840000
J. Lysenko,A,Punctual Rustlers,Sobianitedrucy,FW,24740000
R. Arai,A,Punctual Rustlers,Varijitri Isles,FW,25630000
H. Turyatunga,A,Punctual Rustlers,Republic of Denand Landsa,FWDF,30270000
T. Zoabi,A,Punctual Rustlers,People's Land of Maneau,FWMF,17930000
N. Namwanje,A,Punctual Rustlers,Western Niasland,FWMF,31880000
H. Ochan,A,Punctual Rustlers,Greri Landmoslands,GK,27720000
X. Neri,A,Punctual Rustlers,People's Land of Maneau,GK,13340000
M. Ngamita,A,Punctual Rustlers,Xikong,GK,13320000
M. Nankwanga,A,Punctual Rustlers,Central Diasongo,MF,21800000
B. Kor,A,Punctual Rustlers,Cuandbo,MF,27560000
S. Peretz,A,Punctual Rustlers,Djipines,MF,13610000
K. Van den Berg *,A,Punctual Rustlers,Dosqaly,MF,20930000
X. Muhwezi,A,Punctual Rustlers,Greri Landmoslands,MF,19300000
R. Gentile,A,Punctual Rustlers,Lefghau,MF,12550000
G. Chong,A,Punctual Rustlers,People's Land of Maneau,MF,24370000
D. Pellegrino,A,Punctual Rustlers,People's Land of Maneau,MFDF,16000000
M. Vásquez,A,Punctual Rustlers,Lefghau,MFFW,21540000
I. Mlambo,A,Punctual Rustlers,Redohrainbri,MFFW,30080000
D. Iskandar,A,Silver Heels,Byasier Pujan,DF,24870000
F. Hove,A,Silver Heels,Coastpa Barleslands,DF,20680000
C. Boyko,A,Silver Heels,Dosqaly,DF,9590000
B. Masika,A,Silver Heels,People's Land of Maneau,DF,8880000
B. Weiß,A,Silver Heels,People's Land of Maneau,DF,11480000
B. Wright,A,Silver Heels,People's Land of Maneau,DF,16180000
K. Machava,A,Silver Heels,People's Land of Maneau,DF,15200000
Q. Majawa,A,Silver Heels,People's Land of Maneau,DF,21290000
Z. Kayendeke,A,Silver Heels,People's Land of Maneau,DF,13180000
Z. Mutandwa,A,Silver Heels,People's Land of Maneau,DF,23280000
M. Purnomo,A,Silver Heels,Central Diasongo,FW,26300000
D. Morales,A,Silver Heels,Dosqaly,FW,13150000
F. Diaz,A,Silver Heels,Southern Ristan,FW,22880000
X. Nakanwagi,A,Silver Heels,Southern Ristan,FW,18630000
W. Markovi?,A,Silver Heels,Nancipenuaroe,FWMF,26070000
Q. Musimenta,A,Silver Heels,Nganion,GK,11470000
C. Leroy,A,Silver Heels,People's Land of Maneau,GK,3970000
J. Agaba,A,Silver Heels,Byasier Pujan,MF,23400000
E. Mutebi,A,Silver Heels,Nancipenuaroe,MF,27490000
V. Mahagna,A,Silver Heels,Ngoque Blicri,MF,21360000
J. Mukalazi,A,Silver Heels,People's Land of Maneau,MF,26870000
A. Nyasulu,A,Silver Heels,Rosvi,MF,23500000
I. Joseph,A,Silver Heels,Southslands,MF,9510000
A. Bruno,A,Silver Heels,People's Land of Maneau,MFFW,30890000
A. Nakiranda,A,Solemn Cougars,Dosqaly,DF,10370000
Q. Sam,A,Solemn Cougars,Giumle Lizeibon,DF,14380000
S. Kasamba,A,Solemn Cougars,Greri Landmoslands,DF,27320000
R. Navarro,A,Solemn Cougars,Highhlaands,DF,19610000
T. Nagujja,A,Solemn Cougars,Nancipenuaroe,DF,21540000
F. Omara,A,Solemn Cougars,People's Land of Maneau,DF,21500000
Y. Deng,A,Solemn Cougars,People's Land of Maneau,DF,25330000
A. Acheng,A,Solemn Cougars,Southern Ristan,DF,25870000
D. Tawiah,A,Solemn Cougars,Thaijagypt,DF,11620000
M. Happy,A,Solemn Cougars,Varijitri Isles,DF,21220000
C. Mwesige,A,Solemn Cougars,People's Land of Maneau,DFFW,29350000
L. Musoki,A,Solemn Cougars,People's Land of Maneau,FW,27430000
V. Mudondo,A,Solemn Cougars,People's Land of Maneau,FW,32680000
H. Mubaiwa,A,Solemn Cougars,Rarita,FW,1580000
I. Nyamande,A,Solemn Cougars,Republic of Denand Landsa,FW,37280000
X. Joly,A,Solemn Cougars,People's Land of Maneau,FWMF,38050000
S. Zandamela,A,Solemn Cougars,Mico,GK,17000000
R. Schubert,A,Solemn Cougars,Buhegeor,MF,21980000
O. Nabirye,A,Solemn Cougars,Coastpa Barleslands,MF,10920000
Q. Annan,A,Solemn Cougars,Greri Landmoslands,MF,17530000
T. bin Mohamed,A,Solemn Cougars,People's Land of Maneau,MF,15990000
H. Leong,A,Solemn Cougars,Southern Ristan,MF,29510000
C. Kawooya,A,Solemn Cougars,Republic of Denand Landsa,MFDF,32300000
F. Mtambo,A,Solemn Cougars,Nganion,MFFW,36830000
W. Török,A,Solemn Cougars,People's Land of Maneau,MFFW,31290000
X. Boateng,A,Solemn Cougars,Southern Ristan,MFFW,26170000
Q. Higenyi,A,Solemn Cougars,Varijitri Isles,MFFW,20980000
O. binti Mohamad,A,Somber Bombers,Djipines,DF,13730000
P. Ferri,A,Somber Bombers,Highhlaands,DF,22930000
Y. Phe,A,Somber Bombers,Imaar Vircoand,DF,18870000
V. Abiria,A,Somber Bombers,Nganion,DF,22160000
X. Heikkilä,A,Somber Bombers,People's Land of Maneau,DF,16010000
M. Nabukwasi,A,Somber Bombers,Quewenia,DF,15440000
I. Amoah,A,Somber Bombers,Slandsganiamayotteque,DF,10970000
F. Kollár,A,Somber Bombers,Southslands,DF,32440000
V. Lao,A,Somber Bombers,Xikong,DF,6550000
K. Najjuma,A,Somber Bombers,Ngoque Blicri,DFMF,24690000
S. Mbewe,A,Somber Bombers,People's Land of Maneau,DFMF,14050000
B. Maturu,A,Somber Bombers,People's Land of Maneau,FW,22370000
D. Athieno,A,Somber Bombers,People's Land of Maneau,FW,23810000
H. Mafabi,A,Somber Bombers,Dosqaly,FWMF,20050000
R. De Wit,A,Somber Bombers,Lefghau,FWMF,26680000
D. Masereka,A,Somber Bombers,Ngoque Blicri,FWMF,13010000
R. Wambi,A,Somber Bombers,People's Land of Maneau,FWMF,29920000
M. Janssens,A,Somber Bombers,Ledian,GK,21840000
P. Johansson,A,Somber Bombers,People's Land of Maneau,GK,23110000
N. Koz?owski,A,Somber Bombers,Ngoque Blicri,MF,7960000
A. Nassanga,A,Somber Bombers,People's Land of Maneau,MF,22780000
M. Ferrara,A,Somber Bombers,People's Land of Maneau,MF,16770000
Y. Ferrara,A,Somber Bombers,People's Land of Maneau,MF,34120000
Z. Yosef,A,Somber Bombers,People's Land of Maneau,MF,12040000
T. Achan,A,Somber Bombers,Southslands,MF,23300000
C. K?avi?š,A,Somber Bombers,People's Land of Maneau,MFDF,27790000
J. P?tersons,A,Somber Bombers,Danan Seekeeling,MFFW,24490000
O. Mägi,A,Stacked Rocks,Central Diasongo,DF,26170000
C. Magombo,A,Stacked Rocks,Djipines,DF,6920000
M. Tang,A,Stacked Rocks,Djipines,DF,21800000
K. Mpofu,A,Stacked Rocks,Nganion,DF,30790000
A. Janssen,A,Stacked Rocks,People's Land of Maneau,DF,19030000
D. Nishimura,A,Stacked Rocks,People's Land of Maneau,DF,20550000
E. Koç,A,Stacked Rocks,Rarita,DF,14050000
W. Karlsson,A,Stacked Rocks,Southern Ristan,DF,8610000
C. Bai,A,Stacked Rocks,Western Niasland,DF,14830000
Q. Ariko,A,Stacked Rocks,Djipines,FW,34440000
C. Kadosh,A,Stacked Rocks,Landli Blicporlip,FW,33020000
P. Musiime,A,Stacked Rocks,Lefghau,FW,26930000
J. Hakim,A,Stacked Rocks,People's Land of Maneau,FW,9770000
Z. binti Zakaria,A,Stacked Rocks,People's Land of Maneau,FW,31400000
L. Kyalisiima,A,Stacked Rocks,Byasier Pujan,FWMF,19220000
D. Namugerwa,A,Stacked Rocks,Imaar Vircoand,FWMF,29860000
C. Guerrero,A,Stacked Rocks,Lefghau,FWMF,33230000
W. Nasiru,A,Stacked Rocks,Rarita,GK,22410000
G. Magnusson,A,Stacked Rocks,Dosqaly,MF,23890000
H. Cardoso,A,Stacked Rocks,Dosqaly,MF,16120000
H. Ruiz,A,Stacked Rocks,Imaar Vircoand,MF,25380000
A. Kiss,A,Stacked Rocks,Mico,MF,12340000
I. Nayak,A,Stacked Rocks,People's Land of Maneau,MF,12860000
V. Álvarez,A,Stacked Rocks,Rarita,MF,27580000
J. Tse,A,Swift Musketeers,Dosqaly,DF,14990000
W. Twinamatsiko,A,Swift Musketeers,Mico,DF,11320000
K. Ferrari,A,Swift Musketeers,Nancipenuaroe,DF,15610000
D. Shahar,A,Swift Musketeers,Nkasland Cronestan,DF,12060000
F. Fujihara,A,Swift Musketeers,People's Land of Maneau,DF,20700000
J. Ssempijja,A,Swift Musketeers,People's Land of Maneau,DF,15840000
P. Byamukama,A,Swift Musketeers,People's Land of Maneau,DF,18330000
Q. Tiko,A,Swift Musketeers,People's Land of Maneau,DF,12270000
W. Alves,A,Swift Musketeers,People's Land of Maneau,DF,12900000
E. Kühn,A,Swift Musketeers,Dosqaly,DFMF,24300000
D. Obeng,A,Swift Musketeers,Ngoque Blicri,FW,26810000
C. Joly,A,Swift Musketeers,People's Land of Maneau,FW,18000000
T. Acom,A,Swift Musketeers,People's Land of Maneau,FW,33590000
F. Siddiqui,A,Swift Musketeers,Southslands,FW,26220000
S. Sarpong,A,Swift Musketeers,Southslands,FW,26170000
D. Tukamuhebwa,A,Swift Musketeers,People's Land of Maneau,FWMF,22990000
F. Ribeiro,A,Swift Musketeers,People's Land of Maneau,GK,25830000
S. Aslan,A,Swift Musketeers,People's Land of Maneau,GK,21840000
F. Kabanda,A,Swift Musketeers,Dosqaly,MF,19880000
V. Nakayima,A,Swift Musketeers,Nganion,MF,17210000
A. Lombardi,A,Swift Musketeers,Ngoque Blicri,MF,38940000
A. Avako,A,Swift Musketeers,People's Land of Maneau,MF,32070000
B. Supriatna,A,Swift Musketeers,Quewenia,MF,10470000
G. Abbas,A,Swift Musketeers,Reugha,MF,36720000
N. Nyesiga,A,Swift Musketeers,Southslands,MF,13350000
Z. Alupo,A,Swift Musketeers,Central Republic of Boekrainego,MFFW,22590000
A. Logose,A,Swift Musketeers,Lylimi,MFFW,21650000
C. Namutebi,A,Swift Musketeers,People's Land of Maneau,MFFW,28860000
R. Jacobs,A,Swift Musketeers,People's Land of Maneau,MFFW,25210000
C. Danquah,A,Weak Tornadoes,Byasier Pujan,DF,15800000
J. Tsan,A,Weak Tornadoes,Byasier Pujan,DF,11750000
Z. Kituyi,A,Weak Tornadoes,Central Republic of Boekrainego,DF,12790000
D. Mo,A,Weak Tornadoes,Dosqaly,DF,3330000
E. Nakayiza,A,Weak Tornadoes,Mico,DF,14690000
S. Wafula,A,Weak Tornadoes,People's Land of Maneau,DF,8410000
H. Byamugisha,A,Weak Tornadoes,Republic of Denand Landsa,DF,15270000
H. Makoni,A,Weak Tornadoes,Slandsganiamayotteque,DF,11650000
T. Teo,A,Weak Tornadoes,Slandsganiamayotteque,DF,11170000
G. Cossa,A,Weak Tornadoes,Southern Ristan,DF,10910000
S. Rahmani,A,Weak Tornadoes,Thaijagypt,DF,15810000
X. Emmanuel,A,Weak Tornadoes,People's Land of Maneau,DFFW,18070000
E. Saka,A,Weak Tornadoes,Rosvi,FW,28110000
F. Namajja,A,Weak Tornadoes,Central Badad,FWDF,25300000
X. V?tols,A,Weak Tornadoes,Greri Landmoslands,FWMF,34230000
M. Iqbal,A,Weak Tornadoes,Lenia Gerdanho,FWMF,22670000
L. Barman,A,Weak Tornadoes,People's Land of Maneau,FWMF,24850000
U. Atugonza,A,Weak Tornadoes,Republic of Denand Landsa,FWMF,30250000
N. Kyohirwe,A,Weak Tornadoes,Dosqaly,GK,23590000
E. binti Ismail,A,Weak Tornadoes,Ledian,GK,10840000
G. Namugere,A,Weak Tornadoes,Central Namemo Laand,MF,21910000
M. Amsalem,A,Weak Tornadoes,Czechnor,MF,17020000
A. Karlsson,A,Weak Tornadoes,Ngoque Blicri,MF,20670000
L. Kawuma,A,Weak Tornadoes,People's Land of Maneau,MF,21250000
V. Al-Harbi,A,Weak Tornadoes,People's Land of Maneau,MF,15420000
F. Hughes,A,Weak Tornadoes,Thaijagypt,MFDF,30210000
J. Wan,A,Weak Tornadoes,People's Land of Maneau,MFFW,22490000
U. Alshehri,A,Weak Tornadoes,People's Land of Maneau,MFFW,33630000
